rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
1,0,6,7,2,37,13,29
0,1,1,6,2,2,23,5
1,1,1,11,3,21,16,20
1,0,6,11,3,38,14,18
0,1,4,6,2,19,12,22
1,0,4,8,2,40,11,24
1,1,2,6,2,48,16,6
1,1,2,6,2,6,8,13
0,1,3,6,2,19,12,14
1,0,0,6,2,150,10,25
1,1,4,6,2,13,7,15
0,0,3,7,2,9,11,26
1,1,0,7,2,18,20,2
0,0,6,1,0,22,17,14
0,1,1,5,1,3,15,8
1,1,6,10,3,27,2,28
0,1,3,7,2,28,15,26
0,0,5,3,1,4,12,24
0,1,6,7,2,8,10,8
0,0,1,9,3,83,11,25
1,1,4,9,3,6,9,21
0,1,0,9,3,19,15,10
1,1,3,6,2,52,16,21
0,1,5,12,0,31,19,8
1,0,4,12,0,17,17,21
0,1,3,10,3,27,17,25
0,0,3,6,2,13,3,21
1,1,6,9,3,2,1,30
1,1,2,10,3,12,11,17
1,0,3,6,2,43,17,7
0,1,5,8,2,13,15,18
1,0,5,6,2,26,13,16
0,1,0,1,0,132,12,8
0,0,4,8,2,18,3,24
1,0,4,3,1,39,19,2
0,1,0,5,1,56,17,21
1,0,5,9,3,46,18,8
1,1,0,3,1,17,1,5
1,1,3,9,3,14,23,27
0,1,6,7,2,4,11,22
0,0,4,4,1,13,11,13
1,1,0,6,2,14,11,4
1,0,1,7,2,57,21,3
1,0,0,6,2,42,2,4
1,1,5,6,2,73,19,2
0,0,1,9,3,22,18,25
1,1,4,8,2,22,10,31
1,1,0,7,2,15,11,30
1,1,6,3,1,13,1,4
1,0,6,8,2,161,12,26
1,0,6,4,1,98,14,8
0,1,4,3,1,8,15,2
1,1,2,4,1,8,6,4
1,0,2,11,3,5,18,7
0,0,2,2,0,10,9,7
1,0,3,9,3,31,23,27
0,1,1,11,3,10,9,6
0,0,4,12,0,6,15,14
0,0,4,10,3,18,6,26
1,0,6,9,3,19,9,2
1,0,3,5,1,36,0,24
1,1,3,7,2,11,18,19
0,1,2,4,1,114,19,18
0,0,4,10,3,20,7,5
0,0,5,6,2,10,16,16
1,1,1,6,2,13,7,12
0,1,6,12,0,11,19,30
1,0,4,4,1,13,19,6
0,0,4,5,1,28,20,11
1,0,6,2,0,3,14,11
1,1,6,2,0,22,20,4
0,1,4,8,2,28,16,10
0,1,6,7,2,33,22,15
1,1,1,10,3,13,11,30
0,0,5,3,1,22,1,10
0,0,1,7,2,12,10,3
